"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","ALAS1",0.113661923979891,0.726385591843053,0.833014717512665,"pseudobulk","edgeR","LRT"
"GluN","ALAS2",1.06491756590012,0.0555963366980809,0.144557976396435,"pseudobulk","edgeR","LRT"
"GluN","ALB",0.547080044283171,0.660008848957922,0.784192850555545,"pseudobulk","edgeR","LRT"
"GluN","ALCAM",-1.57384686709175,5.35820384911067e-07,1.15619465141587e-05,"pseudobulk","edgeR","LRT"
"GluN","ALDH16A1",0.756905264369047,0.0532508233621791,0.139946231856541,"pseudobulk","edgeR","LRT"
"GluN","ALDH18A1",-0.129745250414405,0.638944338730883,0.768972666358331,"pseudobulk","edgeR","LRT"
"GluN","ALDH1A1",-2.3672974431634,3.30536007855619e-06,5.59247816347512e-05,"pseudobulk","edgeR","LRT"
"GluN","ALDH1A2",-1.9621812174453,0.000605699495533346,0.00425341469933289,"pseudobulk","edgeR","LRT"
"GluN","ALDH1A3",-1.94963814561323,0.0205839149993798,0.06690260556613,"pseudobulk","edgeR","LRT"
"GluN","ALDH1B1",2.66397343135184,4.31886068031055e-05,0.000484967476610982,"pseudobulk","edgeR","LRT"
"GluN","ALDH1L1",2.13421093608764,0.0012147636854778,0.00742168382042955,"pseudobulk","edgeR","LRT"
"GluN","ALDH1L1-AS1",1.16227594494295,0.473590407790131,0.634754421638211,"pseudobulk","edgeR","LRT"
"GluN","ALDH1L1-AS2",2.34531527035907,0.00246943799438313,0.0130609126169475,"pseudobulk","edgeR","LRT"
"GluN","ALDH1L2",0.239169849441974,0.355265936534215,0.526108210211917,"pseudobulk","edgeR","LRT"
"GluN","ALDH2",-0.187238492578015,0.483286013613679,0.643275672527747,"pseudobulk","edgeR","LRT"
"GluN","ALDH3A1",4.84116494761483,0.0025824401032992,0.0134919587572401,"pseudobulk","edgeR","LRT"
"GluN","ALDH3A2",-0.157653389600438,0.61430618103941,0.749589675201829,"pseudobulk","edgeR","LRT"
"GluN","ALDH3B1",0.640283216965301,0.305044757086607,0.474382443250228,"pseudobulk","edgeR","LRT"
"GluN","ALDH3B2",3.29338735752321,0.00461533818790677,0.0209223688656432,"pseudobulk","edgeR","LRT"
"GluN","ALDH4A1",0.237302573423281,0.569504215912315,0.714254555342725,"pseudobulk","edgeR","LRT"
"GluN","ALDH5A1",-0.123981369585348,0.647439132846881,0.775413099562402,"pseudobulk","edgeR","LRT"
"GluN","ALDH6A1",1.12429499418785,7.86137239362418e-05,0.000794511365969851,"pseudobulk","edgeR","LRT"
"GluN","ALDH7A1",0.230959277509953,0.372689798818609,0.543103908246332,"pseudobulk","edgeR","LRT"
"GluN","ALDH8A1",-0.248869991109295,0.416311247231848,0.58386961286246,"pseudobulk","edgeR","LRT"
"GluN","ALDH9A1",1.1292755959104,0.000780687866052731,0.00522520302794356,"pseudobulk","edgeR","LRT"
"GluN","ALDOA",0.896273526812517,0.106992374483488,0.226105809553721,"pseudobulk","edgeR","LRT"
"GluN","ALDOB",-0.186997162410539,0.624966261987218,0.75827378540285,"pseudobulk","edgeR","LRT"
"GluN","ALDOC",0.662715750640035,0.264947336384258,0.430208063054692,"pseudobulk","edgeR","LRT"
"GluN","ALG1",-0.501876332476677,0.115019963203576,0.238286942907364,"pseudobulk","edgeR","LRT"
"GluN","ALG10",1.33550703079369,0.0145193607116522,0.0512834464540431,"pseudobulk","edgeR","LRT"
"GluN","ALG10B",0.470811753561735,0.409618773152713,0.577874130492012,"pseudobulk","edgeR","LRT"
"GluN","ALG11",0.0627764393120708,0.83618077476575,0.904758373706679,"pseudobulk","edgeR","LRT"
"GluN","ALG12",-0.536305441567196,0.154508540065735,0.296303926421228,"pseudobulk","edgeR","LRT"
"GluN","ALG13",0.491351861888871,0.141344893584676,0.277797806978359,"pseudobulk","edgeR","LRT"
"GluN","ALG13-AS1",0.08864214041789,0.730275658959733,0.835270223080357,"pseudobulk","edgeR","LRT"
"GluN","ALG14",0.0235508227914447,0.927527640615484,0.958735222032865,"pseudobulk","edgeR","LRT"
"GluN","ALG1L",-0.163635013645917,0.716630742208547,0.825851513099396,"pseudobulk","edgeR","LRT"
"GluN","ALG1L2",-0.0105241845078569,0.977918731154018,0.98706022874474,"pseudobulk","edgeR","LRT"
"GluN","ALG1L9P",-0.490683465988361,0.0665866751919611,0.165074781278672,"pseudobulk","edgeR","LRT"
"GluN","ALG2",0.258416349027121,0.51474733272711,0.670593908369434,"pseudobulk","edgeR","LRT"
