"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","TRPC7",-3.31804540961811,1.52602367153532e-12,1.28565409595059e-10,"pseudobulk","edgeR","LRT"
"GluN","OSTN",-3.2841609056101,1.82455022152308e-25,1.48052647580695e-22,"pseudobulk","edgeR","LRT"
"GluN","LINC00271",-3.27914491725755,9.54319705525921e-09,3.49898312959474e-07,"pseudobulk","edgeR","LRT"
"GluN","ZNF385D-AS1",-3.26714147376619,1.02986764959982e-16,1.81462679859488e-14,"pseudobulk","edgeR","LRT"
"GluN","GABRA4",-3.2667665073634,0.000114195676816126,0.00108982472752252,"pseudobulk","edgeR","LRT"
"GluN","DSG2",-3.26233449921566,1.20631041603509e-19,3.54253158842304e-17,"pseudobulk","edgeR","LRT"
"GluN","CLMN",-3.2345315365108,3.09734253234421e-16,5.01427875806701e-14,"pseudobulk","edgeR","LRT"
"GluN","SIDT1-AS1",-3.22935025799938,4.09108701185907e-13,3.91766049722591e-11,"pseudobulk","edgeR","LRT"
"GluN","ANKRD30BL",-3.22422115000793,1.23019795352088e-09,5.65322710831838e-08,"pseudobulk","edgeR","LRT"
"GluN","DAAM2",-3.21764188044304,4.33560038802006e-21,1.67110297455748e-18,"pseudobulk","edgeR","LRT"
"GluN","AC091938.1",-3.20495075531631,8.87700188492431e-13,7.91105066825552e-11,"pseudobulk","edgeR","LRT"
"GluN","FOXO1",-3.20147065637527,3.84999900722614e-19,1.03230190772016e-16,"pseudobulk","edgeR","LRT"
"GluN","CADPS2",-3.19087125940823,1.45377063546604e-12,1.24174563835445e-10,"pseudobulk","edgeR","LRT"
"GluN","AC103796.1",-3.18876311079396,1.39915617288249e-09,6.30745330275315e-08,"pseudobulk","edgeR","LRT"
"GluN","RGS4",-3.17435775427419,0.000247847494975388,0.00204834561982473,"pseudobulk","edgeR","LRT"
"GluN","NPTX1",-3.1601182837597,1.34358865558718e-20,4.65500631404839e-18,"pseudobulk","edgeR","LRT"
"GluN","SATB1-AS1",-3.14711556455118,1.27507835994724e-16,2.19648275022196e-14,"pseudobulk","edgeR","LRT"
"GluN","COL12A1",-3.14285757228009,1.22562931647712e-24,8.99816189846952e-22,"pseudobulk","edgeR","LRT"
"GluN","NREP-AS1",-3.12973148435443,6.0632326900573e-09,2.34312077757581e-07,"pseudobulk","edgeR","LRT"
