Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
PRKCZ-AS1,1.410790326,2.887627321,0.732516269,0.836194966,0.739737309,1.350143116
FAAP20,29.62659686,36.38410425,31.49819957,34.36001134,33.89737434,32.19572045
AL590822.1,1.058092745,1.347559417,1.465032538,3.458806451,1.914614212,4.258143673
SKI,61.72207678,88.9389215,46.88104122,101.9397681,77.58538954,87.49965962
AL590822.3,0.705395163,1.347559417,1.465032538,1.254292449,1.479474618,1.765571767
MORN1,13.28494224,20.59840823,13.91780911,32.00346189,24.36781724,32.55922052
AL513477.2,3.291844095,4.812712202,1.465032538,3.724868486,3.220032993,2.544500488
RER1,39.85482672,50.43722388,35.89329719,33.37178092,32.15681597,27.72986246
PEX10,19.51593285,13.66810265,14.65032538,17.29403225,12.0968807,16.92871753
PLCH2,7.053951632,24.83359496,6.592646422,27.67045161,22.23563323,40.45236489
AL139246.1,0.235131721,0,0,0.19004431,0,0.36350007
PANK4,3.526975816,13.86061114,2.930065076,3.80088621,5.178161164,5.867929696
HES5,14.22546913,1.155050929,3.662581346,3.876903934,6.222496189,0.675071558
AL139246.5,1.645922048,0.192508488,1.465032538,2.736638071,2.523809643,3.167643464
TNFRSF14,0,1.155050929,0,1.140265863,1.305418781,1.50592886
AL139246.3,0.822961024,1.155050929,1.465032538,0.266062035,0.348111675,0.727000139
PRXL2B,9.287702983,13.09057719,4.395097615,9.578233249,10.57389213,6.491072672
TTC34,1.763487908,4.427695226,5.860130153,2.660620347,1.566502537,2.025214674
PRDM16-DT,6.58368819,1.732576393,2.930065076,4.256992555,5.221675124,0.830857302
PRDM16,17.39974736,7.315322547,14.65032538,23.18540588,18.23234897,2.181000418
AL590438.1,0.352697582,0,0,0.228053173,0.304597716,0.051928581
AL354743.2,1.410790326,0.577525464,0,1.216283587,1.261904822,0.207714326
AL354743.1,0.117565861,0,0,0.19004431,0.261083756,0.259642907
ARHGEF16,0.705395163,0.577525464,0,1.330310173,0.957307106,0.467357232
MEGF6,4.937766143,7.315322547,5.127613884,7.715799006,4.917077408,3.842715022
AL513320.1,0.705395163,0.385016976,1.465032538,3.344779865,2.436781724,2.700286232
TPRG1L,4.585068561,8.277864988,4.395097615,4.827125486,10.13875253,4.362000836
WRAP73,12.8146788,17.7107809,8.790195229,16.41982843,13.66338324,16.20171739
