Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL590822.2,0.426127271,0.365604176,0.181480498,1.747369946,1.099153791,1.525357041
PRKCZ-AS1,1.04863646,2.162607504,1.053968401,0.531954101,0.358046592,0.542811431
FAAP20,3.053879908,3.843880129,2.710147563,2.929353694,2.897941365,2.661486593
AL590822.1,3.067744148,3.747172818,2.91983194,8.34331975,4.987862039,9.142875973
SKI,8.379149649,11.46327551,8.818195586,15.61359941,11.39697054,13.2491403
AL590822.3,0.224912069,0.318704161,0.538853624,0.191857161,0.229616645,0.243674928
MORN1,1.611914352,2.177581896,2.384490785,2.361603195,1.942797202,2.310814862
AL513477.2,5.495556605,7.102199643,2.34614665,5.163355137,4.840653051,3.038023836
RER1,7.665626532,10.53157957,7.141080553,5.703964648,5.674871708,4.792483936
PEX10,5.342870572,4.513617508,5.044458555,4.538041395,3.136684162,4.330658187
PLCH2,0.328037234,0.804245755,0.144422143,1.724246481,1.509812109,2.327907259
AL139246.1,0.666057005,0.624369199,0.418402291,0.415850509,0,0.482684626
PANK4,0.607780291,2.217517309,0.486600384,0.702197435,0.918438487,0.906813135
HES5,15.65636412,2.038395668,5.09003452,9.664244917,8.328948753,1.398108415
AL139246.5,1.464803354,0.371114286,0.547120436,1.390355843,1.486910669,1.414004277
TNFRSF14,0,0.383717492,0.042856128,0.16353343,0.175893792,0.221977493
AL139246.3,1.694402204,0.499196141,2.554526449,0.453383343,0.472275058,0.852023182
PRXL2B,2.706017118,3.185560919,2.405782145,2.301302656,2.82401151,1.703213773
TTC34,0.385094905,0.499587449,2.190132347,0.287123923,0.157650065,0.28121007
PRDM16-DT,2.911501681,0.938504953,0.985860399,4.071436394,2.893089537,3.103834534
PRDM16,7.307225676,4.362977153,4.280323552,9.32547535,5.282063122,6.964258988
AL590438.1,0.50786606,0.13133221,0.330031279,0.266514999,0.264806986,0.22662887
AL354743.2,12.82159734,1.873107598,5.753031504,6.367710926,6.985000006,6.292138878
AL354743.1,0.326568898,0.102043098,0.164114692,0.127432639,0.148671645,0.259200257
ARHGEF16,0.091076164,0.149407656,0.092969555,0.182139633,0.155485297,0.100181539
MEGF6,0.339304397,0.793594639,0.236357175,0.558449065,0.386720031,0.285191116
AL513320.1,2.046358417,1.004812811,2.632167468,5.17138857,4.753121966,4.237070835
TPRG1L,2.070019728,3.821758408,1.633354717,1.950435881,3.927967323,1.581138936
WRAP73,1.413255352,1.920217456,1.311713654,1.892987308,1.61492829,1.837097435
TP73,0.586675451,1.38118734,0.343217248,0.115339061,0.048058018,0.078818755
CCDC27,0.135867456,0.469234521,0.269522948,0.061388975,0.097664432,0.103643938
LRRC47,3.750392834,4.517433705,3.343877792,4.353679998,3.809475987,4.133167758
CEP104,3.965793612,4.796759408,3.603809342,6.869181019,6.163792526,5.943257598
DFFB,2.866110413,3.949336856,2.134932828,5.310891867,4.858648643,5.610117439
C1orf174,1.954531226,2.298341726,1.0152072,0.943257088,1.165598091,0.786507538
LINC01134,0.096467365,0.215639754,0.177134565,0.069495096,0.065151755,0.069140672
LINC02780,0.330306198,0.325114316,0.290487476,0.128890996,0.128891198,0.188076026
AL805961.1,0.05662245,0.053078511,0,0.122750144,0.067512685,0.039079719
AJAP1,0.807955643,1.063515847,0.392051764,4.094835454,4.297318513,5.018718025
Z98886.1,0.1691475,0.088089298,0.070836481,0.278684314,0.375857725,0.466969313
LINC02781,0,0.287684036,0.144587121,0.194600931,0,0.099286395
AL365255.1,2.214107303,3.165181211,1.842880594,5.961473399,5.048900716,2.92255623
NPHP4,1.910354885,2.847999857,2.108026855,2.84708923,2.963851492,3.050000828
KCNAB2,0.80971146,0.867231487,0.617402331,1.448106589,1.514986655,2.020540296
CHD5,1.549206098,2.662445358,0.584660622,15.21624987,10.08130859,14.40665849
RPL22,54.23174625,40.11943515,30.94939237,11.20974522,17.53585131,6.436312364
RNF207,1.571571349,0.848602474,1.223929795,3.198959207,2.304186683,1.793508228
ICMT,1.931904446,2.927668447,1.845571654,1.599245875,2.089379484,1.463291377
GPR153,2.721583808,5.528820494,1.478361407,2.276132702,1.556392691,0.627788961
ACOT7,11.00084233,7.811730742,11.27281692,17.42319352,16.68912866,15.24599889
AL031848.2,0.977599797,0.237588519,1.410170685,0.932496326,0.635793949,0.674720445
HES2,0.179356205,0.225925345,0.380253164,0.021871183,0.032806827,0.046420567
ESPN,0.313866908,0.474024832,0.476480285,0.068042283,0.055284442,0.072208287
TNFRSF25,4.931823211,6.792110608,5.209367401,5.207415913,2.685164335,4.951940807
PLEKHG5,2.311698485,1.313096318,2.12155411,2.384264126,1.496455048,2.210850255
NOL9,4.609817995,4.032166157,4.409134968,5.747792117,4.720711048,5.756234898
TAS1R1,1.293798863,1.685616124,3.9534778,0.598988727,0.374368543,0.692418431
ZBTB48,3.447177289,1.889720526,3.54575068,6.791283715,3.828297224,6.281856793
KLHL21,2.911550301,3.425028316,2.548973935,3.094812701,2.463344546,2.11406214
PHF13,2.444806981,4.317636787,2.159517993,1.901497064,1.961735928,1.675840621
THAP3,2.63462185,4.074346357,2.533943738,2.300096537,2.301552236,2.38853026
DNAJC11,8.203914409,8.344351026,8.299560538,10.54383117,8.468580273,10.52400624
CAMTA1-DT,7.229527173,4.518025797,5.871746852,2.792586479,3.134540771,3.024048261
CAMTA1,30.01487055,34.06588741,33.22637248,56.66041927,60.11700474,47.34847148
AL512330.1,45.32813729,30.85081564,45.38406056,54.2832369,46.84562608,52.50059717
Z97987.1,6.43586533,3.360180476,6.396943632,5.626767604,7.311630414,8.096645344
AL359881.3,1.091776182,1.023443063,0.243358915,1.154401981,0.82457414,0.747445978
AL359881.2,1.754534372,1.445359927,2.939092586,1.742741938,0.829878418,0.990773707
AL359881.1,3.97264337,5.639199716,5.704061198,5.580690475,2.325291353,2.585164852
VAMP3,4.890145197,6.559074972,5.50291634,4.820301586,5.722494495,4.247554066
PER3,7.34907841,4.384615164,9.505723963,5.171848682,4.723590284,6.585584788
Z98884.1,10.47916312,3.354291879,15.73444664,3.020552722,3.027681426,6.72850738
UTS2,1.50597311,0.824822739,1.764484928,0.699904735,2.789719011,1.033554183
TNFRSF9,0.076589717,0.067308795,0.168391887,0.549166035,0.466978655,0.649195955
PARK7,51.21733838,27.43694981,42.14098304,21.0761782,35.66971159,18.14145097
AL034417.4,0.72892463,1.359701972,0.610525792,0.873427516,0.926581633,1.105272741
AL034417.3,3.835415503,5.284091009,2.883886933,1.678054489,1.785770253,1.955266103
ERRFI1,2.995025174,4.901350507,2.168403164,4.057938232,5.574721675,4.789885487
AL034417.2,2.994975503,3.530251877,4.694129815,2.568802591,1.836928163,2.762920806
LINC01714,0,0.3121846,0.19018286,0,0,0.156715788
SLC45A1,2.581432151,4.544620824,2.201682694,7.354239944,7.892717024,6.420474348
RERE,41.93648199,44.54576919,43.47606585,51.73094734,42.46742702,44.8029293
RERE-AS1,13.42913405,9.043547932,11.11856139,15.49996286,8.73380109,14.59526858
ENO1,21.0326398,29.84122074,25.20544922,10.73295535,12.4696551,10.74889432
ENO1-AS1,0.99689453,0.622999969,1.252454227,0,0,0.550429837
CA6,0.443996301,0.576286673,0.758059448,0.079963741,0.055530463,0.07071638
SLC2A5,0.484377704,0.788181384,0.660220141,0.33879558,0.414579453,0.567693016
GPR157,0.937050786,1.756803531,1.127019897,0.423622225,0.47378876,0.556033761
MIR34AHG,4.022404129,3.316862715,6.856229776,1.557378556,1.63076545,2.267819001
LNCTAM34A,2.901749981,3.516268856,4.83712915,0.662816377,1.118504395,1.216293115
H6PD,1.996313114,2.864957693,2.818525894,2.375045797,2.029956863,3.026035418
SPSB1,2.074623116,3.763809548,3.864758136,5.059703704,4.850344278,6.369329149
LINC02606,1.097610142,0.833960156,1.088675424,0.351661613,0.529747494,0.167458258
SLC25A33,5.747477409,4.593919562,6.097848036,12.42239079,7.741058643,8.645237582
TMEM201,0.724972661,1.501625365,0.567219493,0.921530924,0.885111516,0.894359782
PIK3CD,1.794504601,1.534155868,1.509036275,2.091400399,1.68526056,1.664587437
PIK3CD-AS2,1.581442057,1.482461267,1.459729399,0.50375927,0.346335043,0.300714064
CLSTN1,16.62728157,22.74003602,14.69922418,27.89236983,29.32511487,21.25494065
CTNNBIP1,10.61013448,10.08218817,11.07231053,13.30972274,11.02357029,11.91460524
AL357140.4,6.562234858,1.826812506,5.94603466,5.059309881,3.724651166,5.229083451
LZIC,8.116281004,7.504210943,8.529995639,5.931287853,5.897719709,5.051875091
AL357140.2,0,0,0,0,0,0.427834101
NMNAT1,4.010067714,1.854891186,4.468191583,3.786291827,3.533621403,3.940528397
RBP7,1.08987634,2.109237945,2.120163814,0.521320716,0.308677225,0.618754654
UBE4B,11.66684976,11.02890026,12.39063258,14.26464153,11.62476653,12.01721159
KIF1B,26.62514011,22.62603692,35.03852374,42.5646875,39.07274943,34.61287327
AL139424.3,9.024219209,7.099216778,8.555193425,6.466663175,5.376477643,5.494820157
AL139424.2,2.646866343,5.924109654,3.273849207,3.106560974,3.663025463,3.844810175
PGD,10.30190149,16.30544004,9.698572641,6.755543305,6.936506261,7.615352857
CENPS,5.755982329,4.680625851,6.251380228,4.5056915,4.228320742,3.89488939
CORT,1.394593693,2.664896149,1.078219002,3.955869974,5.834394119,1.804727917
DFFA,5.073042026,4.759813798,4.022977502,4.973062088,4.886496362,4.527399649
AL354956.1,0.38936523,0.486660361,0,0.455810449,0,0.470281595
PEX14,17.73683452,18.08008804,16.94657711,20.23929325,17.96855184,19.37899754
AL139423.2,1.211802252,0.21731348,1.006144035,0.567438575,0.976571547,0.719998973
CASZ1,0.756570485,0.912209128,0.681823,0.106406703,0.054768242,0.174364286
AL139423.1,0.225675884,0.276092072,0.21625109,0.023881356,0.018657339,0.039599269
TARDBP,6.943679928,10.23390586,5.801188084,6.513804019,7.212140338,5.741569805
MASP2,1.801107636,2.155518426,2.164448028,0.716712052,0.854222103,1.333987463
AL109811.2,13.02792189,16.29424194,9.846881508,10.08586857,13.01514062,12.76617615
SRM,16.38486164,18.53921596,9.930758499,17.14546271,12.67492499,11.18151424
EXOSC10,5.761654353,5.495876739,5.262189256,7.871989061,7.115989262,9.217012393
AL109811.1,8.678111844,5.010201985,5.934073957,5.34407443,4.254983442,5.591726822
EXOSC10-AS1,1.130805735,0.901025328,1.136555478,0.264755572,1.213464944,0.643879679
MTOR,5.501500526,4.659668926,5.108752862,7.035362885,5.729123959,6.350737543
MTOR-AS1,4.369089525,2.680777847,4.191700018,4.184734198,3.52603158,7.031506711
ANGPTL7,4.251504153,2.158762122,3.817732776,2.743743891,1.821189457,2.299480043
UBIAD1,2.975696824,1.900628004,2.794535413,3.160048594,2.862198734,2.852227337
AL031291.1,4.165998057,2.335494222,3.745884663,4.526297409,3.546136467,3.67868135
DISP3,6.704865013,4.860132697,2.656512717,3.988291773,3.038565248,2.301822029
AL031731.1,1.46173112,2.157115078,1.345521026,2.213798259,1.863659627,1.498304714
FBXO2,6.294902012,5.918873935,4.441837033,4.262204775,5.187560019,2.698028515
FBXO44,4.992217166,6.983393354,3.864675317,8.268300736,7.426729489,7.952595302
