Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
EGR1,3.363920901,52.24378057,7.386474048,2.696270741,6.799816285,3.294322574
ETF1,34.48776564,36.90302934,27.68024038,28.0506763,34.20603236,29.52340516
HSPA9,80.4310457,85.4536661,75.50194865,50.80341712,66.93384378,53.1170297
CTNNA1,150.3460504,156.7881593,201.1100821,94.58233941,89.90539706,90.86055405
AC034243.1,0.697028655,0.59658477,2.01795425,0.425726959,0.236515349,0.43924301
LRRTM2,14.36485142,13.26690893,11.23200951,16.36683643,33.52605073,13.89890381
SIL1,122.1921538,88.43658995,176.7423326,143.8247577,124.7322822,144.1030817
AC011405.1,43.97341647,14.40326088,62.25198489,27.48304036,21.16812374,27.42131362
MATR3,1.000084592,1.39203113,1.941805033,6.76432835,7.243282565,6.337649143
SNHG4,1.909252403,1.022716749,2.550998769,5.534450468,6.178963494,6.180776639
MATR3.1,31.24506711,34.65873426,28.59403098,20.17472756,28.52966398,24.06424204
PAIP2,91.46228181,102.5557628,85.40134686,76.65450413,76.483151,81.66782534
AC135457.1,5.515618055,4.744269361,5.8254151,3.169300695,2.572104421,5.114043615
SLC23A1,7.182425708,6.249935685,5.8254151,3.595027654,3.636423492,4.706175106
MZB1,0.212139156,0.880672756,0.342671476,0.118257489,0,0.250996006
PROB1,1.545585279,4.516998973,1.713357382,0.425726959,0.413901861,0.407868509
SPATA24,8.788622175,4.204502188,9.785174384,4.919511527,4.523356051,4.706175106
DNAJC18,35.57876701,31.53376641,33.84832695,51.44200755,51.53078167,59.01543583
ECSCR,0.393972718,0.482949576,0.49496991,0,0.354773024,0.156872504
TMEM173,0,1.306804734,0.266522259,0.236514977,0.473030698,0.658864515
UBE2D2,136.8903668,99.97056217,138.7438734,154.3260227,147.6742711,145.7345558
CXXC5,42.24599763,46.87451764,39.8641151,38.41003231,34.29472561,27.13894311
CXXC5-AS1,0.363667124,0.255679187,0.190373042,0.331120968,0.266079768,0.282370506
AC008667.1,9.455345236,16.47710317,13.55456062,14.28550463,8.958018845,9.914342223
PSD2-AS1,0.212139156,0.653402367,0.380746085,0.496681452,0.354773024,0.627490014
AC008667.3,0.81825103,0.965899151,1.52298434,0.449378457,0.295644186,0.470617511
AC008667.4,0.424278312,0.454540777,0.951865212,0.473029955,0.295644186,0.125498003
PSD2,22.78980647,29.63037691,22.31172058,41.50837851,29.09138793,27.10756861
NRG2,56.85329379,40.42572037,63.2038501,130.5089645,138.7458166,120.0074652
AC008667.2,1.030390186,0.937490353,0.723417561,2.128634795,1.892122792,2.635458059
MALINC1,1.363751717,1.59089272,1.713357382,2.932785718,2.660797677,4.549302602
PURA,28.63878605,47.21542322,29.73626924,45.33992114,47.15524772,45.55577503
IGIP,6.727841803,12.13055699,5.673116666,4.706648048,10.90927047,6.400398144
AC011379.2,3.000253777,5.312445333,5.140072147,4.351875582,2.867748607,5.929780634
CYSTM1,162.5592046,84.11845257,171.1453652,143.0679097,109.3883489,127.6942179
AC011379.1,0.909167811,2.301112684,0.875715995,2.317846777,2.424282328,2.66683256
PFDN1,58.70193501,61.10732572,61.49049272,63.4806199,56.497604,58.51344382
HBEGF,4.90950618,9.573765118,5.55889284,7.781342752,10.34754652,6.21215114
AC008438.2,2.939642589,2.698835864,5.254295973,3.878845627,3.281650468,4.329681098
SLC4A9,8.606788613,6.391979678,12.5646208,8.159766716,6.533736517,6.871015655
AC008438.1,29.63887064,18.32367508,32.40149183,27.93241881,21.99592746,23.65637353
ANKHD1,167.4384052,166.134654,175.3716467,148.8625267,133.1877059,165.7514872
SRA1,43.12485984,43.7779586,47.36481297,42.5963474,36.63031468,51.26593415
EIF4EBP3,4.364005494,3.636326217,3.693237024,2.625316248,1.685171862,2.102091547
APBB3,10.24329067,14.46007847,14.39220201,11.99130935,9.756258148,14.08715082
SLC35A4,7.424870458,12.89759455,7.119951789,3.074694704,5.262466516,2.949203066
CD14,0.181833562,4.17609339,0.304596868,0.283817973,0.325208605,0.470617511
NDUFA2,54.9137358,55.6812452,33.31528243,20.69506051,33.05302003,17.5383459
TMCO6,2.848725808,3.124967843,2.474849552,5.321586988,4.345969539,4.235557595
IK,29.03275877,40.22685878,29.01285167,37.34571491,41.92234562,36.08067581
WDR55,9.758401173,12.84077695,8.338339261,14.78218608,14.30917862,15.24800734
DND1,18.36518979,3.068150246,1.599133557,19.84360659,7.420669076,1.945219044
HARS,33.63920901,29.34628892,32.05882035,63.24410492,59.72012563,61.14890188
HARS2,13.81935073,9.14763314,14.43027662,26.67888944,16.31955908,22.80926201
ZMAT2,24.15355818,26.02245949,18.08543904,15.65729149,25.33670677,13.80478031
AC005609.5,25.18394837,11.78965141,18.92308042,14.5456711,22.08462072,14.43227033
PCDHA1,2.606281059,2.073842296,2.855595637,5.439844477,5.794626052,5.804282631
PCDHA2,0.878862217,1.562483921,0.799566778,1.702907836,1.803429536,0.501992011
PCDHA3,1.515279685,1.164760741,0.647268344,0.82780242,1.50778535,0.627490014
PCDHA4,14.15271226,11.47715462,9.480577516,10.99794644,13.18573071,9.851593222
PCDHA5,4.303394306,5.141992541,1.903730425,5.865571436,8.011957449,3.262948073
PCDHA6,2.545669871,2.130659893,1.903730425,2.814528229,4.523356051,3.168824571
PCDHA7,1.272834936,1.164760741,0.49496991,0.685893434,1.093883489,0.43924301
PCDHA8,0.545500687,0.39772318,0.418820693,0.543984448,0.946061396,0.43924301
PCDHA9,13.27385004,8.863545154,9.023682214,12.34608181,17.79778002,13.2400393
PCDHA10,17.63785554,19.40320942,11.38430794,21.73572641,26.75579886,17.6952184
AC005609.4,0.81825103,0.426131979,0.418820693,0.402075461,1.419092094,0.501992011
