"BDNF"
"CDKN1A"
"CREM"
"GRASP"
"HOMER1"
"NEFM"
"NPTX2"
"PHF21B"
"PIM1"
"PTGS2"
"R3HDM1"
"RHEB"
"SCG2"
"VGF"
"ZDBF2"
"CAMK1G"
"CBLN4"
"LRRK2"
"INA"
"NRN1"
"CRH"
"HSPH1"
"HSPA8"
"B230216N24RIK"
"CBLN2"
"DOT1L"
"EGLN1"
"ETV5"
"TAFA1"
"FMNL1"
"HSD17B12"
"INHBA"
"MAPK4"
"NEFL"
"SNU13"
"NTRK2"
"PENK"
"PPME1"
"SGSM1"
"TPT1"
"TSNAX"
"PDE10A"
"PRKG2"
"RND3"
"IER5"
"ATXN1"
"IQGAP2"
"PDLIM1"
"CA12"
"MAPK6"
"NRP1"
"RCAN2"
"TPBG"
