"Gene"
"ENSG00000187764.11|SEMA4D"
"ENSG00000143819.12|EPHX1"
"ENSG00000205927.4|OLIG2"
"ENSG00000105737.9|GRIK5"
"ENSG00000128928.8|IVD"
"ENSG00000248115.1|RP11-752D24.2"
"ENSG00000156531.16|PHF6"
"ENSG00000111696.11|NT5DC3"
"ENSG00000136235.15|GPNMB"
"ENSG00000139287.12|TPH2"
"ENSG00000152795.17|HNRNPDL"
"ENSG00000165868.13|HSPA12A"
"ENSG00000103888.15|CEMIP"
"ENSG00000043143.20|JADE2"
"ENSG00000161682.14|FAM171A2"
"ENSG00000179262.9|RAD23A"
"ENSG00000169991.10|IFFO2"
"ENSG00000184992.10|BRI3BP"
"ENSG00000144583.4|MARCH4"
"ENSG00000258315.5|C17orf49"
"ENSG00000148343.18|FAM73B"
"ENSG00000206203.4|TSSK2"
"ENSG00000100234.11|TIMP3"
"ENSG00000117461.14|PIK3R3"
"ENSG00000187773.8|FAM69C"
"ENSG00000137478.14|FCHSD2"
"ENSG00000085185.15|BCORL1"
"ENSG00000177200.15|CHD9"
"ENSG00000185630.18|PBX1"
"ENSG00000176593.7|CTD-2368P22.1"
"ENSG00000100316.15|RPL3"
"ENSG00000067113.16|PLPP1"
"ENSG00000133048.12|CHI3L1"
"ENSG00000166685.11|COG1"
"ENSG00000182224.11|CYB5D1"
"ENSG00000160999.10|SH2B2"
"ENSG00000150995.18|ITPR1"
"ENSG00000152193.7|RNF219"
"ENSG00000121406.8|ZNF549"
"ENSG00000143398.19|PIP5K1A"
"ENSG00000175792.11|RUVBL1"
"ENSG00000164039.14|BDH2"
"ENSG00000137959.15|IFI44L"
"ENSG00000105854.12|PON2"
"ENSG00000013297.10|CLDN11"
"ENSG00000184897.5|H1FX"
"ENSG00000166979.12|EVA1C"
"ENSG00000132780.16|NASP"
"ENSG00000019582.14|CD74"
"ENSG00000140368.12|PSTPIP1"
"ENSG00000087495.16|PHACTR3"
"ENSG00000188321.13|ZNF559"
"ENSG00000145198.14|VWA5B2"
"ENSG00000176022.4|B3GALT6"
"ENSG00000056487.15|PHF21B"
"ENSG00000008300.15|CELSR3"
"ENSG00000115204.14|MPV17"
"ENSG00000270112.3|RP11-742D12.2"
"ENSG00000230506.1|RP11-416N4.4"
"ENSG00000198700.9|IPO9"
"ENSG00000173918.14|C1QTNF1"
"ENSG00000181588.16|MEX3D"
"ENSG00000242193.9|RP11-568K15.1"
"ENSG00000105643.9|ARRDC2"
"ENSG00000111605.16|CPSF6"
"ENSG00000131778.17|CHD1L"
"ENSG00000103160.11|HSDL1"
"ENSG00000197157.10|SND1"
"ENSG00000197619.13|ZNF615"
"ENSG00000164849.9|GPR146"
"ENSG00000129187.14|DCTD"
"ENSG00000130287.13|NCAN"
"ENSG00000136490.8|LIMD2"
"ENSG00000169410.9|PTPN9"
"ENSG00000167257.10|RNF214"
"ENSG00000154122.12|ANKH"
"ENSG00000100302.6|RASD2"
"ENSG00000124212.5|PTGIS"
"ENSG00000138639.17|ARHGAP24"
"ENSG00000113163.15|COL4A3BP"
"ENSG00000169684.13|CHRNA5"
"ENSG00000259234.5|ANKRD34C-AS1"
"ENSG00000169184.5|MN1"
"ENSG00000198467.13|TPM2"
"ENSG00000133874.1|RNF122"
"ENSG00000145708.10|CRHBP"
"ENSG00000115194.10|SLC30A3"
"ENSG00000170624.13|SGCD"
"ENSG00000113645.14|WWC1"
"ENSG00000275830.1|RP11-403A3.3"
"ENSG00000180353.10|HCLS1"
"ENSG00000102445.18|KIAA0226L"
"ENSG00000171033.12|PKIA"
"ENSG00000261329.5|CTD-2049O4.1"
"ENSG00000169118.17|CSNK1G1"
"ENSG00000132434.9|LANCL2"
"ENSG00000116983.12|HPCAL4"
"ENSG00000137393.9|RNF144B"
"ENSG00000197603.13|C5orf42"
"ENSG00000055044.10|NOP58"
"ENSG00000146386.7|ABRACL"
"ENSG00000259583.2|RP11-66B24.4"
"ENSG00000119487.16|MAPKAP1"
"ENSG00000180543.4|TSPYL5"
"ENSG00000247416.2|RP11-629G13.1"
"ENSG00000163590.13|PPM1L"
"ENSG00000166401.14|SERPINB8"
"ENSG00000204334.7|ERICH2"
"ENSG00000135945.9|REV1"
"ENSG00000183496.5|MEX3B"
"ENSG00000196437.10|ZNF569"
"ENSG00000068971.13|PPP2R5B"
"ENSG00000186591.11|UBE2H"
"ENSG00000165959.11|CLMN"
"ENSG00000273597.1|RP11-392A14.9"
"ENSG00000176454.13|LPCAT4"
"ENSG00000163793.12|DNAJC5G"
"ENSG00000048649.13|RSF1"
"ENSG00000240583.10|AQP1"
"ENSG00000168453.14|HR"
"ENSG00000144115.16|THNSL2"
"ENSG00000161958.10|FGF11"
"ENSG00000053254.15|FOXN3"
"ENSG00000047230.14|CTPS2"
"ENSG00000124145.6|SDC4"
"ENSG00000112559.13|MDFI"
"ENSG00000175893.11|ZDHHC21"
"ENSG00000178980.14|SEPW1"
"ENSG00000136451.8|VEZF1"
"ENSG00000163285.7|GABRG1"
"ENSG00000124762.13|CDKN1A"
"ENSG00000261465.6|RP11-626G11.5"
"ENSG00000169282.17|KCNAB1"
"ENSG00000171189.17|GRIK1"
"ENSG00000117139.16|KDM5B"
"ENSG00000170549.3|IRX1"
"ENSG00000188070.9|C11orf95"
"ENSG00000179399.14|GPC5"
"ENSG00000188176.11|SMTNL2"
"ENSG00000095397.13|WHRN"
"ENSG00000135968.20|GCC2"
"ENSG00000125814.17|NAPB"
"ENSG00000085788.13|DDHD2"
"ENSG00000167733.13|HSD11B1L"
"ENSG00000267121.5|CTD-2020K17.1"
"ENSG00000111596.11|CNOT2"
"ENSG00000100284.20|TOM1"
"ENSG00000134716.9|CYP2J2"
"ENSG00000121060.15|TRIM25"
"ENSG00000279983.1|CH17-140K24.8"
"ENSG00000074696.12|HACD3"
"ENSG00000006125.16|AP2B1"
"ENSG00000097007.17|ABL1"
"ENSG00000160445.10|ZER1"
"ENSG00000070831.15|CDC42"
"ENSG00000171840.11|NINJ2"
"ENSG00000100167.19|SEPT3"
"ENSG00000181830.8|SLC35C1"
"ENSG00000167281.18|RBFOX3"
"ENSG00000235576.1|AC092580.4"
"ENSG00000172081.13|MOB3A"
"ENSG00000185634.11|SHC4"
"ENSG00000232434.2|C9orf172"
"ENSG00000108179.13|PPIF"
"ENSG00000149926.13|FAM57B"
"ENSG00000206432.4|TMEM200C"
"ENSG00000181234.9|TMEM132C"
"ENSG00000172348.14|RCAN2"
