"Gene"
"ENSG00000134871.17|COL4A2"
"ENSG00000136982.5|DSCC1"
"ENSG00000058804.11|NDC1"
"ENSG00000023902.13|PLEKHO1"
"ENSG00000138439.11|FAM117B"
"ENSG00000198720.12|ANKRD13B"
"ENSG00000237732.9|AC010980.2"
"ENSG00000157404.15|KIT"
"ENSG00000181690.7|PLAG1"
"ENSG00000148795.5|CYP17A1"
"ENSG00000188529.14|SRSF10"
"ENSG00000163393.12|SLC22A15"
"ENSG00000173801.16|JUP"
"ENSG00000146918.19|NCAPG2"
"ENSG00000149970.14|CNKSR2"
"ENSG00000058056.8|USP13"
"ENSG00000104517.12|UBR5"
"ENSG00000131845.14|ZNF304"
"ENSG00000122375.11|OPN4"
"ENSG00000162695.11|SLC30A7"
"ENSG00000197702.11|PARVA"
"ENSG00000281692.1|PACRG-AS1"
"ENSG00000272702.1|RP11-44N22.3"
"ENSG00000168807.16|SNTB2"
"ENSG00000125970.11|RALY"
"ENSG00000156113.21|KCNMA1"
"ENSG00000110841.13|PPFIBP1"
"ENSG00000083799.17|CYLD"
"ENSG00000133422.12|MORC2"
"ENSG00000258517.1|RP6-91H8.1"
"ENSG00000143850.13|PLEKHA6"
"ENSG00000033867.16|SLC4A7"
"ENSG00000147416.10|ATP6V1B2"
"ENSG00000168522.12|FNTA"
"ENSG00000180720.7|CHRM4"
"ENSG00000127838.13|PNKD"
"ENSG00000180739.13|S1PR5"
"ENSG00000164647.8|STEAP1"
"ENSG00000047579.19|DTNBP1"
"ENSG00000138802.11|SEC24B"
"ENSG00000081177.18|EXD2"
"ENSG00000065883.14|CDK13"
"ENSG00000147677.10|EIF3H"
"ENSG00000118260.14|CREB1"
"ENSG00000071073.12|MGAT4A"
"ENSG00000101670.11|LIPG"
"ENSG00000100427.15|MLC1"
"ENSG00000153767.9|GTF2E1"
"ENSG00000224982.3|TMEM233"
"ENSG00000178403.3|NEUROG2"
"ENSG00000162302.12|RPS6KA4"
"ENSG00000248294.1|CTD-2023N9.2"
"ENSG00000245848.2|CEBPA"
"ENSG00000167770.11|OTUB1"
"ENSG00000152595.16|MEPE"
"ENSG00000137814.9|HAUS2"
"ENSG00000073614.12|KDM5A"
"ENSG00000228307.1|OR2S1P"
"ENSG00000068308.13|OTUD5"
"ENSG00000182158.14|CREB3L2"
"ENSG00000188322.4|SBK1"
"ENSG00000153822.13|KCNJ16"
"ENSG00000136527.17|TRA2B"
"ENSG00000001461.16|NIPAL3"
"ENSG00000128242.12|GAL3ST1"
"ENSG00000166889.13|PATL1"
"ENSG00000007545.15|CRAMP1"
"ENSG00000107362.13|ABHD17B"
"ENSG00000182979.17|MTA1"
"ENSG00000180287.16|PLD5"
"ENSG00000250770.3|RP5-1063M23.3"
"ENSG00000154144.12|TBRG1"
"ENSG00000240707.2|LINC01168"
"ENSG00000164099.3|PRSS12"
"ENSG00000148450.12|MSRB2"
"ENSG00000172794.19|RAB37"
"ENSG00000164619.8|BMPER"
"ENSG00000105270.14|CLIP3"
"ENSG00000265681.7|RPL17"
"ENSG00000155189.11|AGPAT5"
"ENSG00000180626.9|ZNF594"
"ENSG00000256193.5|LINC00507"
"ENSG00000146425.10|DYNLT1"
"ENSG00000111860.13|CEP85L"
"ENSG00000167699.13|GLOD4"
"ENSG00000166529.14|ZSCAN21"
"ENSG00000258947.6|TUBB3"
"ENSG00000254081.1|LINC01299"
"ENSG00000070081.15|NUCB2"
"ENSG00000161714.11|PLCD3"
"ENSG00000154914.16|USP43"
"ENSG00000164080.13|RAD54L2"
"ENSG00000272572.1|RP11-179B2.2"
"ENSG00000196361.9|ELAVL3"
"ENSG00000229619.3|MBNL1-AS1"
"ENSG00000236088.9|COX10-AS1"
"ENSG00000108641.14|B9D1"
"ENSG00000170779.10|CDCA4"
"ENSG00000186081.11|KRT5"
"ENSG00000145451.12|GLRA3"
"ENSG00000155893.12|PXYLP1"
"ENSG00000065427.14|KARS"
"ENSG00000138336.8|TET1"
"ENSG00000146243.13|IRAK1BP1"
"ENSG00000126814.6|TRMT5"
"ENSG00000008853.16|RHOBTB2"
"ENSG00000127947.15|PTPN12"
"ENSG00000235884.3|LINC00941"
"ENSG00000137942.16|FNBP1L"
"ENSG00000174453.9|VWC2L"
"ENSG00000116141.15|MARK1"
"ENSG00000157954.14|WIPI2"
"ENSG00000143919.14|CAMKMT"
"ENSG00000092201.9|SUPT16H"
"ENSG00000153048.10|CARHSP1"
"ENSG00000165323.15|FAT3"
"ENSG00000174403.15|C20orf166-AS1"
"ENSG00000187678.8|SPRY4"
"ENSG00000077279.17|DCX"
"ENSG00000112365.4|ZBTB24"
"ENSG00000164588.6|HCN1"
"ENSG00000111652.9|COPS7A"
"ENSG00000139767.8|SRRM4"
"ENSG00000183655.12|KLHL25"
"ENSG00000141376.21|BCAS3"
"ENSG00000079337.15|RAPGEF3"
"ENSG00000128604.18|IRF5"
"ENSG00000100227.17|POLDIP3"
"ENSG00000186193.8|SAPCD2"
"ENSG00000103184.11|SEC14L5"
"ENSG00000172216.5|CEBPB"
"ENSG00000172915.18|NBEA"
"ENSG00000135749.18|PCNX2"
"ENSG00000121310.16|ECHDC2"
"ENSG00000196371.3|FUT4"
"ENSG00000078487.17|ZCWPW1"
"ENSG00000124785.8|NRN1"
"ENSG00000169220.17|RGS14"
"ENSG00000174944.8|P2RY14"
"ENSG00000214353.7|VAC14-AS1"
"ENSG00000134508.12|CABLES1"
"ENSG00000101489.19|CELF4"
"ENSG00000034533.11|ASTE1"
"ENSG00000101224.17|CDC25B"
"ENSG00000131791.7|PRKAB2"
"ENSG00000114744.8|COMMD2"
"ENSG00000198832.10|SELM"
"ENSG00000139517.7|LNX2"
"ENSG00000165175.15|MID1IP1"
"ENSG00000177570.13|SAMD12"
"ENSG00000163898.9|LIPH"
"ENSG00000115649.15|CNPPD1"
"ENSG00000072832.14|CRMP1"
"ENSG00000110092.3|CCND1"
"ENSG00000131779.10|PEX11B"
"ENSG00000124251.10|TP53TG5"
"ENSG00000095319.14|NUP188"
"ENSG00000166311.9|SMPD1"
"ENSG00000166548.15|TK2"
"ENSG00000196975.15|ANXA4"
"ENSG00000134201.10|GSTM5"
"ENSG00000218672.1|AC008060.7"
"ENSG00000225746.9|SNHG23"
"ENSG00000078967.12|UBE2D4"
"ENSG00000254187.1|CTB-78F1.1"
"ENSG00000154274.14|C4orf19"
"ENSG00000166997.7|CNPY4"
"ENSG00000278318.4|ZNF229"
"ENSG00000107742.12|SPOCK2"
"ENSG00000158669.11|GPAT4"
"ENSG00000086712.12|TXLNG"
"ENSG00000117586.10|TNFSF4"
"ENSG00000181744.8|C3orf58"
"ENSG00000087253.12|LPCAT2"
"ENSG00000126882.12|FAM78A"
"ENSG00000103051.18|COG4"
"ENSG00000039068.18|CDH1"
"ENSG00000132912.12|DCTN4"
"ENSG00000137142.4|IGFBPL1"
"ENSG00000168214.20|RBPJ"
"ENSG00000065357.19|DGKA"
"ENSG00000146038.11|DCDC2"
"ENSG00000116852.14|KIF21B"
"ENSG00000100884.9|CPNE6"
"ENSG00000183283.15|DAZAP2"
"ENSG00000104783.11|KCNN4"
"ENSG00000122507.20|BBS9"
"ENSG00000164403.14|SHROOM1"
"ENSG00000075303.12|SLC25A40"
"ENSG00000076344.15|RGS11"
"ENSG00000135480.14|KRT7"
"ENSG00000198929.12|NOS1AP"
"ENSG00000101868.10|POLA1"
"ENSG00000196150.13|ZNF250"
"ENSG00000007264.14|MATK"
"ENSG00000134369.15|NAV1"
"ENSG00000138686.9|BBS7"
"ENSG00000258598.1|RP11-260M19.1"
"ENSG00000172007.5|RAB33B"
"ENSG00000129911.8|KLF16"
"ENSG00000182621.17|PLCB1"
"ENSG00000000460.16|C1orf112"
"ENSG00000253305.2|PCDHGB6"
"ENSG00000171940.13|ZNF217"
"ENSG00000125676.19|THOC2"
"ENSG00000115310.17|RTN4"
"ENSG00000132716.18|DCAF8"
"ENSG00000123240.16|OPTN"
"ENSG00000145194.17|ECE2"
"ENSG00000281160.1|RP11-333B11.1"
"ENSG00000256633.1|RP11-169D4.2"
"ENSG00000247157.6|LINC01252"
"ENSG00000136026.13|CKAP4"
"ENSG00000102466.15|FGF14"
"ENSG00000170144.19|HNRNPA3"
"ENSG00000168748.13|CA7"
"ENSG00000229191.1|RP11-168O16.1"
"ENSG00000107242.17|PIP5K1B"
"ENSG00000151466.11|SCLT1"
"ENSG00000080802.18|CNOT4"
"ENSG00000197937.12|ZNF347"
"ENSG00000071967.11|CYBRD1"
"ENSG00000267510.1|CTC-325H20.4"
"ENSG00000149489.8|ROM1"
"ENSG00000165490.12|DDIAS"
"ENSG00000140522.11|RLBP1"
"ENSG00000188559.13|RALGAPA2"
"ENSG00000140807.6|NKD1"
"ENSG00000140465.13|CYP1A1"
"ENSG00000171208.9|NETO2"
"ENSG00000198218.10|QRICH1"
"ENSG00000178252.17|WDR6"
"ENSG00000108947.4|EFNB3"
"ENSG00000130396.20|MLLT4"
"ENSG00000166405.14|RIC3"
"ENSG00000196570.2|PFN3"
"ENSG00000113327.14|GABRG2"
"ENSG00000013375.15|PGM3"
"ENSG00000117724.12|CENPF"
"ENSG00000102934.9|PLLP"
"ENSG00000105649.9|RAB3A"
"ENSG00000138028.14|CGREF1"
"ENSG00000132394.10|EEFSEC"
"ENSG00000113360.16|DROSHA"
"ENSG00000101132.9|PFDN4"
"ENSG00000136267.13|DGKB"
"ENSG00000125772.12|GPCPD1"
"ENSG00000157851.16|DPYSL5"
"ENSG00000161202.17|DVL3"
"ENSG00000135773.12|CAPN9"
"ENSG00000121289.17|CEP89"
"ENSG00000172113.8|NME6"
"ENSG00000196531.10|NACA"
"ENSG00000175087.9|PDIK1L"
"ENSG00000164323.12|CFAP97"
"ENSG00000120868.13|APAF1"
"ENSG00000165633.12|VSTM4"
"ENSG00000168067.11|MAP4K2"
"ENSG00000166086.12|JAM3"
"ENSG00000243083.5|LINC00870"
"ENSG00000187260.15|WDR86"
"ENSG00000105928.13|DFNA5"
"ENSG00000170448.11|NFXL1"
"ENSG00000166035.10|LIPC"
"ENSG00000111790.13|FGFR1OP2"
"ENSG00000071246.10|VASH1"
"ENSG00000137968.16|SLC44A5"
"ENSG00000089505.17|CMTM1"
"ENSG00000123144.10|C19orf43"
"ENSG00000163644.14|PPM1K"
"ENSG00000125991.18|ERGIC3"
"ENSG00000118816.9|CCNI"
"ENSG00000142528.15|ZNF473"
"ENSG00000160801.13|PTH1R"
"ENSG00000136535.14|TBR1"
"ENSG00000139173.9|TMEM117"
"ENSG00000009954.10|BAZ1B"
"ENSG00000151445.15|VIPAS39"
"ENSG00000102158.19|MAGT1"
"ENSG00000256525.6|POLG2"
"ENSG00000168032.8|ENTPD3"
"ENSG00000188677.14|PARVB"
"ENSG00000176533.12|GNG7"
"ENSG00000172273.12|HINFP"
"ENSG00000122406.12|RPL5"
"ENSG00000167037.18|SGSM1"
"ENSG00000153044.9|CENPH"
"ENSG00000115355.15|CCDC88A"
"ENSG00000173482.16|PTPRM"
"ENSG00000156928.4|MALSU1"
"ENSG00000165097.13|KDM1B"
"ENSG00000062282.14|DGAT2"
"ENSG00000100106.19|TRIOBP"
"ENSG00000154822.16|PLCL2"
"ENSG00000004975.11|DVL2"
"ENSG00000083838.15|ZNF446"
"ENSG00000116985.11|BMP8B"
"ENSG00000124198.8|ARFGEF2"
"ENSG00000074356.16|NCBP3"
"ENSG00000138375.12|SMARCAL1"
"ENSG00000197863.8|ZNF790"
"ENSG00000257337.6|RP11-983P16.4"
"ENSG00000143318.12|CASQ1"
"ENSG00000163297.16|ANTXR2"
"ENSG00000155269.11|GPR78"
"ENSG00000005339.14|CREBBP"
"ENSG00000167635.11|ZNF146"
"ENSG00000111653.19|ING4"
"ENSG00000050344.8|NFE2L3"
"ENSG00000053524.11|MCF2L2"
"ENSG00000112592.13|TBP"
"ENSG00000169129.14|AFAP1L2"
"ENSG00000020256.19|ZFP64"
"ENSG00000267194.1|RP1-193H18.2"
"ENSG00000240449.1|RP4-584D14.5"
"ENSG00000167306.19|MYO5B"
"ENSG00000160685.13|ZBTB7B"
"ENSG00000175105.6|ZNF654"
"ENSG00000281937.1|RP3-510D11.4"
"ENSG00000134077.15|THUMPD3"
"ENSG00000253873.5|PCDHGA11"
"ENSG00000242419.5|PCDHGC4"
"ENSG00000198492.15|YTHDF2"
"ENSG00000172059.10|KLF11"
"ENSG00000187801.14|ZFP69B"
"ENSG00000141337.12|ARSG"
"ENSG00000167977.8|KCTD5"
"ENSG00000144218.18|AFF3"
"ENSG00000136048.13|DRAM1"
"ENSG00000166436.15|TRIM66"
"ENSG00000006071.12|ABCC8"
"ENSG00000085224.21|ATRX"
"ENSG00000113812.13|ACTR8"
"ENSG00000157625.15|TAB3"
"ENSG00000137413.15|TAF8"
"ENSG00000112651.11|MRPL2"
"ENSG00000149577.15|SIDT2"
"ENSG00000021300.13|PLEKHB1"
"ENSG00000215899.3|RP11-439L8.2"
"ENSG00000178460.17|MCMDC2"
"ENSG00000132952.11|USPL1"
"ENSG00000188895.11|MSL1"
"ENSG00000178921.13|PFAS"
"ENSG00000279727.1|RP11-640L9.1"
"ENSG00000116251.9|RPL22"
"ENSG00000167880.7|EVPL"
"ENSG00000169550.12|MUC15"
"ENSG00000169891.17|REPS2"
"ENSG00000112706.11|IMPG1"
"ENSG00000149346.14|SLX4IP"
"ENSG00000152689.17|RASGRP3"
"ENSG00000163877.9|SNIP1"
"ENSG00000214338.10|SOGA3"
"ENSG00000134352.19|IL6ST"
"ENSG00000064300.8|NGFR"
"ENSG00000163545.8|NUAK2"
"ENSG00000130528.11|HRC"
"ENSG00000089280.18|FUS"
"ENSG00000145592.13|RPL37"
"ENSG00000158806.13|NPM2"
"ENSG00000122877.14|EGR2"
"ENSG00000115457.9|IGFBP2"
"ENSG00000183036.10|PCP4"
"ENSG00000135929.8|CYP27A1"
"ENSG00000172379.19|ARNT2"
"ENSG00000187742.14|SECISBP2"
"ENSG00000125247.15|TMTC4"
"ENSG00000267980.1|AC007292.6"
"ENSG00000096996.15|IL12RB1"
"ENSG00000067955.13|CBFB"
"ENSG00000211445.11|GPX3"
"ENSG00000101596.14|SMCHD1"
"ENSG00000077327.15|SPAG6"
"ENSG00000100601.9|ALKBH1"
"ENSG00000244486.8|SCARF2"
"ENSG00000197275.13|RAD54B"
"ENSG00000064419.13|TNPO3"
"ENSG00000125810.9|CD93"
"ENSG00000082781.11|ITGB5"
"ENSG00000184368.15|MAP7D2"
"ENSG00000040633.12|PHF23"
"ENSG00000177666.16|PNPLA2"
"ENSG00000198576.3|ARC"
"ENSG00000105278.10|ZFR2"
"ENSG00000108309.12|RUNDC3A"
"ENSG00000167702.11|KIFC2"
"ENSG00000141441.15|GAREM1"
"ENSG00000138821.12|SLC39A8"
"ENSG00000197037.10|ZSCAN25"
"ENSG00000125484.11|GTF3C4"
"ENSG00000178997.11|EXD1"
"ENSG00000182518.13|FAM104B"
"ENSG00000166793.10|YPEL4"
"ENSG00000173581.7|CCDC106"
"ENSG00000203668.2|CHML"
"ENSG00000110660.14|SLC35F2"
"ENSG00000188917.14|TRMT2B"
"ENSG00000183337.16|BCOR"
"ENSG00000151229.12|SLC2A13"
"ENSG00000124313.12|IQSEC2"
"ENSG00000198342.9|ZNF442"
"ENSG00000108924.13|HLF"
"ENSG00000253729.7|PRKDC"
"ENSG00000175920.15|DOK7"
"ENSG00000100092.20|SH3BP1"
"ENSG00000278576.1|RP11-507K2.6"
"ENSG00000172732.11|MUS81"
"ENSG00000179409.10|GEMIN4"
"ENSG00000130803.14|ZNF317"
"ENSG00000248439.2|RPL23AP94"
"ENSG00000160679.12|CHTOP"
"ENSG00000154832.14|CXXC1"
"ENSG00000151967.18|SCHIP1"
"ENSG00000134222.16|PSRC1"
"ENSG00000066468.21|FGFR2"
"ENSG00000168610.14|STAT3"
"ENSG00000140993.10|TIGD7"
"ENSG00000198003.11|CCDC151"
"ENSG00000099785.10|MARCH2"
"ENSG00000111405.8|ENDOU"
"ENSG00000089351.14|GRAMD1A"
"ENSG00000165914.14|TTC7B"
"ENSG00000136153.19|LMO7"
"ENSG00000119917.13|IFIT3"
"ENSG00000262943.7|ALOX12P2"
"ENSG00000134759.13|ELP2"
"ENSG00000260664.2|AC004158.3"
"ENSG00000138792.9|ENPEP"
"ENSG00000091732.15|ZC3HC1"
"ENSG00000174939.10|ASPHD1"
"ENSG00000120217.13|CD274"
"ENSG00000148606.12|POLR3A"
"ENSG00000186675.6|MAGEE2"
"ENSG00000137819.13|PAQR5"
"ENSG00000174576.8|NPAS4"
"ENSG00000169006.6|NTSR2"
"ENSG00000116783.14|TNNI3K"
"ENSG00000145868.16|FBXO38"
"ENSG00000151348.13|EXT2"
"ENSG00000101126.15|ADNP"
"ENSG00000182973.18|CNOT10"
"ENSG00000075223.13|SEMA3C"
"ENSG00000221909.2|FAM200A"
"ENSG00000241399.6|CD302"
"ENSG00000114127.10|XRN1"
"ENSG00000185133.13|INPP5J"
"ENSG00000228638.1|FCF1P2"
"ENSG00000122779.17|TRIM24"
"ENSG00000173404.4|INSM1"
"ENSG00000152910.18|CNTNAP4"
"ENSG00000156858.11|PRR14"
"ENSG00000174871.10|CNIH2"
"ENSG00000168539.3|CHRM1"
"ENSG00000161281.10|COX7A1"
"ENSG00000107593.16|PKD2L1"
"ENSG00000136436.14|CALCOCO2"
"ENSG00000140092.14|FBLN5"
"ENSG00000239332.5|LINC01119"
"ENSG00000251293.1|CTC-552D5.1"
"ENSG00000273314.1|RP5-1136G13.2"
"ENSG00000148120.15|C9orf3"
"ENSG00000260092.1|RP11-77K12.7"
"ENSG00000118308.15|LRMP"
"ENSG00000185619.18|PCGF3"
"ENSG00000174326.11|SLC16A11"
"ENSG00000067334.13|DNTTIP2"
"ENSG00000234616.8|JRK"
"ENSG00000157388.14|CACNA1D"
"ENSG00000185669.5|SNAI3"
"ENSG00000187123.14|LYPD6"
"ENSG00000084453.16|SLCO1A2"
"ENSG00000177640.15|CASC2"
"ENSG00000113407.13|TARS"
"ENSG00000171130.17|ATP6V0E2"
"ENSG00000063015.19|SEZ6"
"ENSG00000270171.1|RP11-338N10.1"
"ENSG00000255916.1|RP13-895J2.7"
"ENSG00000176788.8|BASP1"
"ENSG00000011376.9|LARS2"
"ENSG00000071539.13|TRIP13"
"ENSG00000147789.15|ZNF7"
"ENSG00000164197.11|RNF180"
"ENSG00000272941.1|RP11-134L10.1"
"ENSG00000157570.11|TSPAN18"
"ENSG00000132429.9|POPDC3"
"ENSG00000159714.10|ZDHHC1"
"ENSG00000137266.14|SLC22A23"
"ENSG00000205730.6|ITPRIPL2"
"ENSG00000065135.9|GNAI3"
"ENSG00000146282.17|RARS2"
"ENSG00000144118.13|RALB"
"ENSG00000106346.11|USP42"
"ENSG00000089327.14|FXYD5"
"ENSG00000076706.15|MCAM"
"ENSG00000102218.5|RP2"
"ENSG00000111262.4|KCNA1"
"ENSG00000138311.15|ZNF365"
"ENSG00000160293.16|VAV2"
"ENSG00000139793.18|MBNL2"
"ENSG00000099860.8|GADD45B"
"ENSG00000144406.18|UNC80"
"ENSG00000246695.7|RASSF8-AS1"
"ENSG00000173436.13|MINOS1"
"ENSG00000241684.5|ADAMTS9-AS2"
"ENSG00000251468.2|RP11-369K16.1"
"ENSG00000135446.16|CDK4"
"ENSG00000106538.9|RARRES2"
"ENSG00000169439.11|SDC2"
"ENSG00000166441.12|RPL27A"
"ENSG00000134323.10|MYCN"
"ENSG00000137285.9|TUBB2B"
"ENSG00000131149.18|GSE1"
"ENSG00000132170.19|PPARG"
"ENSG00000095713.13|CRTAC1"
"ENSG00000154127.9|UBASH3B"
"ENSG00000072954.6|TMEM38A"
"ENSG00000101266.17|CSNK2A1"
"ENSG00000175197.11|DDIT3"
"ENSG00000238271.2|IFNWP19"
"ENSG00000115520.8|COQ10B"
"ENSG00000162989.4|KCNJ3"
"ENSG00000171914.15|TLN2"
"ENSG00000078403.16|MLLT10"
"ENSG00000099960.12|SLC7A4"
"ENSG00000081721.11|DUSP12"
"ENSG00000259134.5|LINC00924"
"ENSG00000250067.11|YJEFN3"
"ENSG00000106803.9|SEC61B"
"ENSG00000113389.15|NPR3"
"ENSG00000106628.10|POLD2"
"ENSG00000155438.11|NIFK"
"ENSG00000111602.11|TIMELESS"
"ENSG00000168490.13|PHYHIP"
"ENSG00000137843.11|PAK6"
"ENSG00000105650.21|PDE4C"
"ENSG00000135040.15|NAA35"
"ENSG00000126803.9|HSPA2"
"ENSG00000069424.14|KCNAB2"
"ENSG00000153922.10|CHD1"
"ENSG00000103196.11|CRISPLD2"
"ENSG00000163516.13|ANKZF1"
"ENSG00000196090.12|PTPRT"
"ENSG00000136261.14|BZW2"
"ENSG00000171649.11|ZIK1"
"ENSG00000214367.7|HAUS3"
"ENSG00000066044.14|ELAVL1"
"ENSG00000156103.15|MMP16"
"ENSG00000076003.4|MCM6"
"ENSG00000114529.12|C3orf52"
"ENSG00000178860.8|MSC"
"ENSG00000166845.13|C18orf54"
"ENSG00000179981.9|TSHZ1"
"ENSG00000250320.5|CTD-2269F5.1"
"ENSG00000196268.11|ZNF493"
"ENSG00000078114.18|NEBL"
"ENSG00000120685.19|PROSER1"
"ENSG00000205744.9|DENND1C"
"ENSG00000112309.10|B3GAT2"
"ENSG00000169855.19|ROBO1"
"ENSG00000152700.13|SAR1B"
"ENSG00000132334.16|PTPRE"
"ENSG00000071553.16|ATP6AP1"
"ENSG00000036549.12|ZZZ3"
"ENSG00000010244.17|ZNF207"
"ENSG00000276073.1|RP5-1125A11.7"
"ENSG00000104853.15|CLPTM1"
"ENSG00000162543.5|UBXN10"
"ENSG00000167065.13|DUSP18"
"ENSG00000138794.9|CASP6"
"ENSG00000198517.9|MAFK"
"ENSG00000137825.10|ITPKA"
"ENSG00000154237.12|LRRK1"
"ENSG00000154217.14|PITPNC1"
"ENSG00000108651.9|UTP6"
"ENSG00000112530.11|PACRG"
"ENSG00000132405.18|TBC1D14"
"ENSG00000245532.6|NEAT1"
"ENSG00000130816.14|DNMT1"
"ENSG00000112039.3|FANCE"
"ENSG00000198830.10|HMGN2"
"ENSG00000230487.7|PSMG3-AS1"
"ENSG00000171435.13|KSR2"
"ENSG00000179455.7|MKRN3"
"ENSG00000120029.12|C10orf76"
"ENSG00000146859.6|TMEM140"
"ENSG00000181467.4|RAP2B"
"ENSG00000164346.9|NSA2"
"ENSG00000124942.13|AHNAK"
"ENSG00000065989.15|PDE4A"
"ENSG00000102572.14|STK24"
"ENSG00000124134.8|KCNS1"
"ENSG00000099282.9|TSPAN15"
"ENSG00000143252.14|SDHC"
"ENSG00000225868.7|AC016582.2"
"ENSG00000133067.17|LGR6"
"ENSG00000198315.10|ZKSCAN8"
"ENSG00000100307.12|CBX7"
"ENSG00000283462.1|CTC-445B21.1"
"ENSG00000165724.5|ZMYND19"
"ENSG00000012983.11|MAP4K5"
"ENSG00000140948.11|ZCCHC14"
"ENSG00000205542.10|TMSB4X"
"ENSG00000066322.13|ELOVL1"
"ENSG00000167034.9|NKX3-1"
"ENSG00000066136.20|NFYC"
"ENSG00000276649.1|RP5-858L17.1"
"ENSG00000188938.15|FAM120AOS"
"ENSG00000124164.15|VAPB"
"ENSG00000015413.9|DPEP1"
"ENSG00000163597.14|SNHG16"
"ENSG00000006128.11|TAC1"
"ENSG00000006116.3|CACNG3"
"ENSG00000117713.18|ARID1A"
"ENSG00000104064.16|GABPB1"
"ENSG00000138399.17|FASTKD1"
"ENSG00000125450.10|NUP85"
"ENSG00000138029.13|HADHB"
"ENSG00000119938.8|PPP1R3C"
"ENSG00000149679.11|CABLES2"
"ENSG00000147604.13|RPL7"
"ENSG00000249755.2|RP11-466G12.2"
"ENSG00000136158.11|SPRY2"
"ENSG00000111859.16|NEDD9"
"ENSG00000204628.11|RACK1"
"ENSG00000101958.13|GLRA2"
"ENSG00000058091.16|CDK14"
"ENSG00000135547.8|HEY2"
"ENSG00000234646.6|RP4-753D10.3"
"ENSG00000141622.13|RNF165"
"ENSG00000135778.11|NTPCR"
"ENSG00000059804.15|SLC2A3"
"ENSG00000169035.11|KLK7"
"ENSG00000148843.13|PDCD11"
"ENSG00000112852.6|PCDHB2"
"ENSG00000135913.10|USP37"
"ENSG00000271360.1|RP11-138I18.1"
"ENSG00000167186.10|COQ7"
"ENSG00000261428.2|RP11-16P6.1"
"ENSG00000144959.9|NCEH1"
"ENSG00000176928.5|GCNT4"
"ENSG00000135334.8|AKIRIN2"
"ENSG00000258501.1|EIF3LP1"
"ENSG00000147256.10|ARHGAP36"
"ENSG00000104679.10|R3HCC1"
"ENSG00000280320.1|RP11-629N8.5"
"ENSG00000167395.10|ZNF646"
"ENSG00000170677.5|SOCS6"
"ENSG00000106066.14|CPVL"
"ENSG00000039560.13|RAI14"
"ENSG00000165572.7|KBTBD6"
"ENSG00000127616.17|SMARCA4"
"ENSG00000061918.12|GUCY1B3"
"ENSG00000110375.2|UPK2"
"ENSG00000049860.13|HEXB"
"ENSG00000140612.13|SEC11A"
"ENSG00000111275.12|ALDH2"
"ENSG00000136828.18|RALGPS1"
"ENSG00000155816.19|FMN2"
"ENSG00000011258.15|MBTD1"
"ENSG00000121989.14|ACVR2A"
"ENSG00000146006.7|LRRTM2"
"ENSG00000078053.16|AMPH"
"ENSG00000180881.19|CAPS2"
"ENSG00000205089.7|CCNI2"
"ENSG00000143195.12|ILDR2"
"ENSG00000273492.5|AP000230.1"
"ENSG00000139874.5|SSTR1"
"ENSG00000162191.13|UBXN1"
"ENSG00000118496.4|FBXO30"
"ENSG00000262576.2|PCDHGA4"
"ENSG00000176165.10|FOXG1"
"ENSG00000141447.16|OSBPL1A"
"ENSG00000198740.8|ZNF652"
"ENSG00000241231.1|RP11-275H4.1"
"ENSG00000136546.13|SCN7A"
"ENSG00000164970.14|FAM219A"
"ENSG00000204278.12|TMEM235"
"ENSG00000168398.6|BDKRB2"
"ENSG00000060749.14|QSER1"
"ENSG00000130813.17|C19orf66"
"ENSG00000125375.14|ATP5S"
"ENSG00000172209.5|GPR22"
"ENSG00000124615.17|MOCS1"
"ENSG00000138785.14|INTS12"
"ENSG00000189164.14|ZNF527"
"ENSG00000183723.12|CMTM4"
"ENSG00000276116.2|FUT8-AS1"
"ENSG00000145949.9|MYLK4"
"ENSG00000136457.9|CHAD"
"ENSG00000105655.18|ISYNA1"
"ENSG00000136205.16|TNS3"
"ENSG00000117408.10|IPO13"
"ENSG00000183760.10|ACP7"
"ENSG00000148153.13|INIP"
"ENSG00000182923.16|CEP63"
"ENSG00000082175.14|PGR"
"ENSG00000077312.8|SNRPA"
"ENSG00000183597.15|TANGO2"
"ENSG00000204381.11|LAYN"
"ENSG00000272646.1|RP11-188P17.2"
"ENSG00000139266.5|MARCH9"
"ENSG00000185220.11|PGBD2"
"ENSG00000124780.13|KCNK17"
"ENSG00000175267.14|VWA3A"
"ENSG00000167508.11|MVD"
"ENSG00000154721.14|JAM2"
"ENSG00000136156.12|ITM2B"
"ENSG00000177427.12|MIEF2"
"ENSG00000042088.13|TDP1"
"ENSG00000196504.15|PRPF40A"
"ENSG00000094975.13|SUCO"
"ENSG00000145014.17|TMEM44"
"ENSG00000138594.13|TMOD3"
"ENSG00000237166.1|AC007163.3"
"ENSG00000092051.16|JPH4"
"ENSG00000164342.12|TLR3"
"ENSG00000221870.2|TMEM257"
"ENSG00000179133.12|C10orf67"
"ENSG00000102780.16|DGKH"
"ENSG00000198336.9|MYL4"
"ENSG00000065609.14|SNAP91"
"ENSG00000101438.3|SLC32A1"
"ENSG00000126746.17|ZNF384"
"ENSG00000134324.11|LPIN1"
"ENSG00000103994.16|ZNF106"
"ENSG00000140057.8|AK7"
"ENSG00000171488.14|LRRC8C"
